ID_BB_GLOBAL,FIELD,VALUE,SOURCE,TSTAMP
BBG009HTG233,ID_BB_UNIQUE,COAF1220132,corp_pfd.dif,2022-12-02 18:15:13
BBG009HTG233,ID_CUSIP,AF1220132,corp_pfd.dif,2022-12-02 18:15:13
BBG009HTG233,ID_ISIN,USP4983GAQ30,corp_pfd.dif,2022-12-02 18:15:13
BBG009HTG233,ID_SEDOL1,BYY01J9,corp_pfd.dif,2022-12-02 18:15:13
BBG009HTG233,NAME,GRUPO POSADAS SAB CV,corp_pfd.dif,2022-12-02 18:15:13
BBG009HTG233,TICKER,POSADA,corp_pfd.dif,2022-12-02 18:15:13
BBG009LKZ502,ID_BB_UNIQUE,COAF2833636,corp_pfd.dif,2022-12-02 18:15:13
BBG009LKZ502,ID_CUSIP,AF2833636,corp_pfd.dif,2022-12-02 18:15:13
BBG009LKZ502,ID_ISIN,BRELPLDBS0Q6,corp_pfd.dif,2022-12-02 18:15:13
BBG009LKZ502,ID_SEDOL1,BYSVYW2,corp_pfd.dif,2022-12-02 18:15:13
BBG009LKZ502,NAME,ELETRICIDADE SAO PAULO,corp_pfd.dif,2022-12-02 18:15:13
BBG009LKZ502,TICKER,ELPLBZ,corp_pfd.dif,2022-12-02 18:15:13
BBG00BL00ST8,ID_BB_UNIQUE,COAH0077885,corp_pfd.dif,2022-12-02 18:15:13
BBG00BL00ST8,ID_CUSIP,AH0077885,corp_pfd.dif,2022-12-02 18:15:13
BBG00BL00ST8,ID_ISIN,CL0002220052,corp_pfd.dif,2022-12-02 18:15:13
BBG00BL00ST8,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00BL00ST8,NAME,ENAEX SA,corp_pfd.dif,2022-12-02 18:15:13
BBG00BL00ST8,TICKER,ENAEX,corp_pfd.dif,2022-12-02 18:15:13
BBG00BL01GP7,ID_BB_UNIQUE,COAH0079261,corp_pfd.dif,2022-12-02 18:15:13
BBG00BL01GP7,ID_CUSIP,AH0079261,corp_pfd.dif,2022-12-02 18:15:13
BBG00BL01GP7,ID_ISIN, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00BL01GP7,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00BL01GP7,NAME,ENAEX SA,corp_pfd.dif,2022-12-02 18:15:13
BBG00BL01GP7,TICKER,ENAEX,corp_pfd.dif,2022-12-02 18:15:13
BBG00BL03SV2,ID_BB_UNIQUE,COAH0080863,corp_pfd.dif,2022-12-02 18:15:13
BBG00BL03SV2,ID_CUSIP,AH0080863,corp_pfd.dif,2022-12-02 18:15:13
BBG00BL03SV2,ID_ISIN, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00BL03SV2,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00BL03SV2,NAME,EMPRESA OBRAS SANITARIAS,corp_pfd.dif,2022-12-02 18:15:13
BBG00BL03SV2,TICKER,ESVAL,corp_pfd.dif,2022-12-02 18:15:13
BBG00F3ZPNZ9,ID_BB_UNIQUE,COAL0365802,corp_pfd.dif,2022-12-02 18:15:13
BBG00F3ZPNZ9,ID_CUSIP,AL0365802,corp_pfd.dif,2022-12-02 18:15:13
BBG00F3ZPNZ9,ID_ISIN,CL0002292077,corp_pfd.dif,2022-12-02 18:15:13
BBG00F3ZPNZ9,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00F3ZPNZ9,NAME,BANC CREDITO INVERSIONES,corp_pfd.dif,2022-12-02 18:15:13
BBG00F3ZPNZ9,TICKER,BCICI,corp_pfd.dif,2022-12-02 18:15:13
BBG00F3ZSZY0,ID_BB_UNIQUE,COAL0369580,corp_pfd.dif,2022-12-02 18:15:13
BBG00F3ZSZY0,ID_CUSIP,AL0369580,corp_pfd.dif,2022-12-02 18:15:13
BBG00F3ZSZY0,ID_ISIN,CL0002292093,corp_pfd.dif,2022-12-02 18:15:13
BBG00F3ZSZY0,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00F3ZSZY0,NAME,BANC CREDITO INVERSIONES,corp_pfd.dif,2022-12-02 18:15:13
BBG00F3ZSZY0,TICKER,BCICI,corp_pfd.dif,2022-12-02 18:15:13
BBG00F3ZTR22,ID_BB_UNIQUE,COAL0375629,corp_pfd.dif,2022-12-02 18:15:13
BBG00F3ZTR22,ID_CUSIP,AL0375629,corp_pfd.dif,2022-12-02 18:15:13
BBG00F3ZTR22,ID_ISIN,CL0002292101,corp_pfd.dif,2022-12-02 18:15:13
BBG00F3ZTR22,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00F3ZTR22,NAME,BANC CREDITO INVERSIONES,corp_pfd.dif,2022-12-02 18:15:13
BBG00F3ZTR22,TICKER,BCICI,corp_pfd.dif,2022-12-02 18:15:13
BBG00F5CF098,ID_BB_UNIQUE,COAL0587629,corp_pfd.dif,2022-12-02 18:15:13
BBG00F5CF098,ID_CUSIP,AL0587629,corp_pfd.dif,2022-12-02 18:15:13
BBG00F5CF098,ID_ISIN,XS1512966372,corp_pfd.dif,2022-12-02 18:15:13
BBG00F5CF098,ID_SEDOL1,BZ13HR8,corp_pfd.dif,2022-12-02 18:15:13
BBG00F5CF098,NAME,CENTRAL CHN REAL ESTATE,corp_pfd.dif,2022-12-02 18:15:13
BBG00F5CF098,TICKER,CENCHI,corp_pfd.dif,2022-12-02 18:15:13
BBG00F5MX8V4,ID_BB_UNIQUE,COAL0843188,corp_pfd.dif,2022-12-02 18:15:13
BBG00F5MX8V4,ID_CUSIP,20448QAA8,corp_pfd.dif,2022-12-02 18:15:13
BBG00F5MX8V4,ID_ISIN,US20448QAA85,corp_pfd.dif,2022-12-02 18:15:13
BBG00F5MX8V4,ID_SEDOL1,BF1B8R9,corp_pfd.dif,2022-12-02 18:15:13
BBG00F5MX8V4,NAME,COMPANIA GENERAL COMBUST,corp_pfd.dif,2022-12-02 18:15:13
BBG00F5MX8V4,TICKER,CGCSA,corp_pfd.dif,2022-12-02 18:15:13
BBG00F5NQKK5,ID_BB_UNIQUE,COAL0862337,corp_pfd.dif,2022-12-02 18:15:13
BBG00F5NQKK5,ID_CUSIP,AL0862337,corp_pfd.dif,2022-12-02 18:15:13
BBG00F5NQKK5,ID_ISIN,USP3063DAA02,corp_pfd.dif,2022-12-02 18:15:13
BBG00F5NQKK5,ID_SEDOL1,BZ1BG53,corp_pfd.dif,2022-12-02 18:15:13
BBG00F5NQKK5,NAME,COMPANIA GENERAL COMBUST,corp_pfd.dif,2022-12-02 18:15:13
BBG00F5NQKK5,TICKER,CGCSA,corp_pfd.dif,2022-12-02 18:15:13
BBG00F6HX103,ID_BB_UNIQUE,COAL1095358,corp_pfd.dif,2022-12-02 18:15:13
BBG00F6HX103,ID_CUSIP,AL1095358,corp_pfd.dif,2022-12-02 18:15:13
BBG00F6HX103,ID_ISIN,CL0002317353,corp_pfd.dif,2022-12-02 18:15:13
BBG00F6HX103,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00F6HX103,NAME,LA CONSTRUCCION SA,corp_pfd.dif,2022-12-02 18:15:13
BBG00F6HX103,TICKER,ILCCI,corp_pfd.dif,2022-12-02 18:15:13
BBG00F6K2324,ID_BB_UNIQUE,COAL1165524,corp_pfd.dif,2022-12-02 18:15:13
BBG00F6K2324,ID_CUSIP,AL1165524,corp_pfd.dif,2022-12-02 18:15:13
BBG00F6K2324,ID_ISIN,CL0002317379,corp_pfd.dif,2022-12-02 18:15:13
BBG00F6K2324,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00F6K2324,NAME,LA CONSTRUCCION SA,corp_pfd.dif,2022-12-02 18:15:13
BBG00F6K2324,TICKER,ILCCI,corp_pfd.dif,2022-12-02 18:15:13
BBG00F7RDFG4,ID_BB_UNIQUE,COAL1368839,corp_pfd.dif,2022-12-02 18:15:13
BBG00F7RDFG4,ID_CUSIP,AL1368839,corp_pfd.dif,2022-12-02 18:15:13
BBG00F7RDFG4,ID_ISIN,BRTCPADBS019,corp_pfd.dif,2022-12-02 18:15:13
BBG00F7RDFG4,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00F7RDFG4,NAME,TCP CONTEINERS PARANAGUA,corp_pfd.dif,2022-12-02 18:15:13
BBG00F7RDFG4,TICKER,TCPABZ,corp_pfd.dif,2022-12-02 18:15:13
BBG00F7ZL0J7,ID_BB_UNIQUE,COAL1493314,corp_pfd.dif,2022-12-02 18:15:13
BBG00F7ZL0J7,ID_CUSIP,AL1493314,corp_pfd.dif,2022-12-02 18:15:13
BBG00F7ZL0J7,ID_ISIN,CL0002321777,corp_pfd.dif,2022-12-02 18:15:13
BBG00F7ZL0J7,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00F7ZL0J7,NAME,CENCOSUD SA,corp_pfd.dif,2022-12-02 18:15:13
BBG00F7ZL0J7,TICKER,CENSUD,corp_pfd.dif,2022-12-02 18:15:13
BBG00F7ZPM96,ID_BB_UNIQUE,COAL1498800,corp_pfd.dif,2022-12-02 18:15:13
BBG00F7ZPM96,ID_CUSIP,AL1498800,corp_pfd.dif,2022-12-02 18:15:13
BBG00F7ZPM96,ID_ISIN,CL0002321785,corp_pfd.dif,2022-12-02 18:15:13
BBG00F7ZPM96,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00F7ZPM96,NAME,CENCOSUD SA,corp_pfd.dif,2022-12-02 18:15:13
BBG00F7ZPM96,TICKER,CENSUD,corp_pfd.dif,2022-12-02 18:15:13
BBG00F7ZVT49,ID_BB_UNIQUE,COAL1512519,corp_pfd.dif,2022-12-02 18:15:13
BBG00F7ZVT49,ID_CUSIP,AL1512519,corp_pfd.dif,2022-12-02 18:15:13
BBG00F7ZVT49,ID_ISIN,CL0002264225,corp_pfd.dif,2022-12-02 18:15:13
BBG00F7ZVT49,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00F7ZVT49,NAME,BANCO BICE,corp_pfd.dif,2022-12-02 18:15:13
BBG00F7ZVT49,TICKER,BICECL,corp_pfd.dif,2022-12-02 18:15:13
BBG00F80ND67,ID_BB_UNIQUE,COAL1583361,corp_pfd.dif,2022-12-02 18:15:13
BBG00F80ND67,ID_CUSIP,AL1583361,corp_pfd.dif,2022-12-02 18:15:13
BBG00F80ND67,ID_ISIN,CL0002274729,corp_pfd.dif,2022-12-02 18:15:13
BBG00F80ND67,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00F80ND67,NAME,SCOTIABANK AZUL SA,corp_pfd.dif,2022-12-02 18:15:13
BBG00F80ND67,TICKER,BBVASM,corp_pfd.dif,2022-12-02 18:15:13
BBG00F80QLT1,ID_BB_UNIQUE,COAL1595647,corp_pfd.dif,2022-12-02 18:15:13
BBG00F80QLT1,ID_CUSIP,AL1595647,corp_pfd.dif,2022-12-02 18:15:13
BBG00F80QLT1,ID_ISIN,CL0002270248,corp_pfd.dif,2022-12-02 18:15:13
BBG00F80QLT1,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00F80QLT1,NAME,BANCO SANTANDER CHILE,corp_pfd.dif,2022-12-02 18:15:13
BBG00F80QLT1,TICKER,BSANCI,corp_pfd.dif,2022-12-02 18:15:13
BBG00F8ZTP49,ID_BB_UNIQUE,COAL2102633,corp_pfd.dif,2022-12-02 18:15:13
BBG00F8ZTP49,ID_CUSIP,AL2102633,corp_pfd.dif,2022-12-02 18:15:13
BBG00F8ZTP49,ID_ISIN,ARBSTR5600K2,corp_pfd.dif,2022-12-02 18:15:13
BBG00F8ZTP49,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00F8ZTP49,NAME,BANCO DE SERVICIOS Y TRA,corp_pfd.dif,2022-12-02 18:15:13
BBG00F8ZTP49,TICKER,BASTSA,corp_pfd.dif,2022-12-02 18:15:13
BBG00FDG6018,ID_BB_UNIQUE,COAL4008291,corp_pfd.dif,2022-12-02 18:15:13
BBG00FDG6018,ID_CUSIP,AL4008291,corp_pfd.dif,2022-12-02 18:15:13
BBG00FDG6018,ID_ISIN, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00FDG6018,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00FDG6018,NAME,BBVA CHILE SA,corp_pfd.dif,2022-12-02 18:15:13
BBG00FDG6018,TICKER,BBVASM,corp_pfd.dif,2022-12-02 18:15:13
BBG00FF56L87,ID_BB_UNIQUE,COAL4259944,corp_pfd.dif,2022-12-02 18:15:13
BBG00FF56L87,ID_CUSIP,AL4259944,corp_pfd.dif,2022-12-02 18:15:13
BBG00FF56L87,ID_ISIN,XS1517168909,corp_pfd.dif,2022-12-02 18:15:13
BBG00FF56L87,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00FF56L87,NAME,INTERAMERICAN ENERGY COR,corp_pfd.dif,2022-12-02 18:15:13
BBG00FF56L87,TICKER,PAPOGE,corp_pfd.dif,2022-12-02 18:15:13
BBG00FFG0GD4,ID_BB_UNIQUE,COAL4694702,corp_pfd.dif,2022-12-02 18:15:13
BBG00FFG0GD4,ID_CUSIP,AL4694702,corp_pfd.dif,2022-12-02 18:15:13
BBG00FFG0GD4,ID_ISIN,CL0002322056,corp_pfd.dif,2022-12-02 18:15:13
BBG00FFG0GD4,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00FFG0GD4,NAME,CELULOSA ARAUCO CONSTITU,corp_pfd.dif,2022-12-02 18:15:13
BBG00FFG0GD4,TICKER,CELARA,corp_pfd.dif,2022-12-02 18:15:13
BBG00FFKCGR7,ID_BB_UNIQUE,COAL4830926,corp_pfd.dif,2022-12-02 18:15:13
BBG00FFKCGR7,ID_CUSIP,893829AA9,corp_pfd.dif,2022-12-02 18:15:13
BBG00FFKCGR7,ID_ISIN,US893829AA96,corp_pfd.dif,2022-12-02 18:15:13
BBG00FFKCGR7,ID_SEDOL1,BYMJDY7,corp_pfd.dif,2022-12-02 18:15:13
BBG00FFKCGR7,NAME,TRANSOCEAN PROTEUS LTD,corp_pfd.dif,2022-12-02 18:15:13
BBG00FFKCGR7,TICKER,RIG,corp_pfd.dif,2022-12-02 18:15:13
BBG00FFKGZ28,ID_BB_UNIQUE,COAL4831023,corp_pfd.dif,2022-12-02 18:15:13
BBG00FFKGZ28,ID_CUSIP,AL4831023,corp_pfd.dif,2022-12-02 18:15:13
BBG00FFKGZ28,ID_ISIN,USG9007YAA04,corp_pfd.dif,2022-12-02 18:15:13
BBG00FFKGZ28,ID_SEDOL1,BDBRPC7,corp_pfd.dif,2022-12-02 18:15:13
BBG00FFKGZ28,NAME,TRANSOCEAN PROTEUS LTD,corp_pfd.dif,2022-12-02 18:15:13
BBG00FFKGZ28,TICKER,RIG,corp_pfd.dif,2022-12-02 18:15:13
BBG00FFQYMJ6,ID_BB_UNIQUE,COAL5164515,corp_pfd.dif,2022-12-02 18:15:13
BBG00FFQYMJ6,ID_CUSIP,AL5164515,corp_pfd.dif,2022-12-02 18:15:13
BBG00FFQYMJ6,ID_ISIN,BRRNCVDBS014,corp_pfd.dif,2022-12-02 18:15:13
BBG00FFQYMJ6,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00FFQYMJ6,NAME,RICARDO ELETRO,corp_pfd.dif,2022-12-02 18:15:13
BBG00FFQYMJ6,TICKER,RNCVBZ,corp_pfd.dif,2022-12-02 18:15:13
BBG00FH1BQR6,ID_BB_UNIQUE,COAL6314366,corp_pfd.dif,2022-12-02 18:15:13
BBG00FH1BQR6,ID_CUSIP,AL6314366,corp_pfd.dif,2022-12-02 18:15:13
BBG00FH1BQR6,ID_ISIN,CL0002325612,corp_pfd.dif,2022-12-02 18:15:13
BBG00FH1BQR6,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00FH1BQR6,NAME,EMPRESAS COPEC SA,corp_pfd.dif,2022-12-02 18:15:13
BBG00FH1BQR6,TICKER,COPEC,corp_pfd.dif,2022-12-02 18:15:13
BBG00FH1QG83,ID_BB_UNIQUE,COAL6329844,corp_pfd.dif,2022-12-02 18:15:13
BBG00FH1QG83,ID_CUSIP,AL6329844,corp_pfd.dif,2022-12-02 18:15:13
BBG00FH1QG83,ID_ISIN,CL0002325620,corp_pfd.dif,2022-12-02 18:15:13
BBG00FH1QG83,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00FH1QG83,NAME,EMPRESAS COPEC SA,corp_pfd.dif,2022-12-02 18:15:13
BBG00FH1QG83,TICKER,COPEC,corp_pfd.dif,2022-12-02 18:15:13
BBG00FHYBL77,ID_BB_UNIQUE,COAL7015681,corp_pfd.dif,2022-12-02 18:15:13
BBG00FHYBL77,ID_CUSIP,AL7015681,corp_pfd.dif,2022-12-02 18:15:13
BBG00FHYBL77,ID_ISIN,CL0002323799,corp_pfd.dif,2022-12-02 18:15:13
BBG00FHYBL77,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00FHYBL77,NAME,SACI FALABELLA,corp_pfd.dif,2022-12-02 18:15:13
BBG00FHYBL77,TICKER,BFALA,corp_pfd.dif,2022-12-02 18:15:13
BBG00FHYBNP3,ID_BB_UNIQUE,COAL7015749,corp_pfd.dif,2022-12-02 18:15:13
BBG00FHYBNP3,ID_CUSIP,AL7015749,corp_pfd.dif,2022-12-02 18:15:13
BBG00FHYBNP3,ID_ISIN,CL0002323815,corp_pfd.dif,2022-12-02 18:15:13
BBG00FHYBNP3,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00FHYBNP3,NAME,SACI FALABELLA,corp_pfd.dif,2022-12-02 18:15:13
BBG00FHYBNP3,TICKER,BFALA,corp_pfd.dif,2022-12-02 18:15:13
BBG00FHYBZ67,ID_BB_UNIQUE,COAL7015905,corp_pfd.dif,2022-12-02 18:15:13
BBG00FHYBZ67,ID_CUSIP,AL7015905,corp_pfd.dif,2022-12-02 18:15:13
BBG00FHYBZ67,ID_ISIN,CL0002323831,corp_pfd.dif,2022-12-02 18:15:13
BBG00FHYBZ67,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00FHYBZ67,NAME,COPEVAL SA,corp_pfd.dif,2022-12-02 18:15:13
BBG00FHYBZ67,TICKER,COPECL,corp_pfd.dif,2022-12-02 18:15:13
BBG00FJKGK72,ID_BB_UNIQUE,COAL7959680,corp_pfd.dif,2022-12-02 18:15:13
BBG00FJKGK72,ID_CUSIP,AL7959680,corp_pfd.dif,2022-12-02 18:15:13
BBG00FJKGK72,ID_ISIN,CL0002324250,corp_pfd.dif,2022-12-02 18:15:13
BBG00FJKGK72,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00FJKGK72,NAME,QUINENCO S.A.,corp_pfd.dif,2022-12-02 18:15:13
BBG00FJKGK72,TICKER,QUINEN,corp_pfd.dif,2022-12-02 18:15:13
BBG00FJVP7R5,ID_BB_UNIQUE,COAL8346622,corp_pfd.dif,2022-12-02 18:15:13
BBG00FJVP7R5,ID_CUSIP,AL8346622,corp_pfd.dif,2022-12-02 18:15:13
BBG00FJVP7R5,ID_ISIN,CL0002304237,corp_pfd.dif,2022-12-02 18:15:13
BBG00FJVP7R5,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00FJVP7R5,NAME,BANCO DEL ESTADO -CHILE,corp_pfd.dif,2022-12-02 18:15:13
BBG00FJVP7R5,TICKER,BANCO,corp_pfd.dif,2022-12-02 18:15:13
BBG00FLZFFS5,ID_BB_UNIQUE,COAL8613484,corp_pfd.dif,2022-12-02 18:15:13
BBG00FLZFFS5,ID_CUSIP,AL8613484,corp_pfd.dif,2022-12-02 18:15:13
BBG00FLZFFS5,ID_ISIN,XS1513700127,corp_pfd.dif,2022-12-02 18:15:13
BBG00FLZFFS5,ID_SEDOL1,BDCMS77,corp_pfd.dif,2022-12-02 18:15:13
BBG00FLZFFS5,NAME,CIFI HOLDINGS GROUP,corp_pfd.dif,2022-12-02 18:15:13
BBG00FLZFFS5,TICKER,CIFIHG,corp_pfd.dif,2022-12-02 18:15:13
BBG00FM8SLW2,ID_BB_UNIQUE,COAL8846605,corp_pfd.dif,2022-12-02 18:15:13
BBG00FM8SLW2,ID_CUSIP,AL8846605,corp_pfd.dif,2022-12-02 18:15:13
BBG00FM8SLW2,ID_ISIN,BRTFLEDBS013,corp_pfd.dif,2022-12-02 18:15:13
BBG00FM8SLW2,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00FM8SLW2,NAME,TOTAL FLEET SA,corp_pfd.dif,2022-12-02 18:15:13
BBG00FM8SLW2,TICKER,LOCREN,corp_pfd.dif,2022-12-02 18:15:13
BBG00FM95060,ID_BB_UNIQUE,COAL8862925,corp_pfd.dif,2022-12-02 18:15:13
BBG00FM95060,ID_CUSIP,AL8862925,corp_pfd.dif,2022-12-02 18:15:13
BBG00FM95060,ID_ISIN, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00FM95060,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00FM95060,NAME,SCOTIABANK SUD AMERICANO,corp_pfd.dif,2022-12-02 18:15:13
BBG00FM95060,TICKER,SUDAM,corp_pfd.dif,2022-12-02 18:15:13
BBG00FMGH515,ID_BB_UNIQUE,COAL9070064,corp_pfd.dif,2022-12-02 18:15:13
BBG00FMGH515,ID_CUSIP,AL9070064,corp_pfd.dif,2022-12-02 18:15:13
BBG00FMGH515,ID_ISIN,XS1541978851,corp_pfd.dif,2022-12-02 18:15:13
BBG00FMGH515,ID_SEDOL1,BDTYZ31,corp_pfd.dif,2022-12-02 18:15:13
BBG00FMGH515,NAME,LOGAN GROUP CO LTD,corp_pfd.dif,2022-12-02 18:15:13
BBG00FMGH515,TICKER,LOGPH,corp_pfd.dif,2022-12-02 18:15:13
BBG00FN63FX4,ID_BB_UNIQUE,COAL9329494,corp_pfd.dif,2022-12-02 18:15:13
BBG00FN63FX4,ID_CUSIP,AL9329494,corp_pfd.dif,2022-12-02 18:15:13
BBG00FN63FX4,ID_ISIN,BRCIPSDBS022,corp_pfd.dif,2022-12-02 18:15:13
BBG00FN63FX4,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00FN63FX4,NAME,CIPASA SA,corp_pfd.dif,2022-12-02 18:15:13
BBG00FN63FX4,TICKER,CIPASA,corp_pfd.dif,2022-12-02 18:15:13
BBG00FN8SZ96,ID_BB_UNIQUE,COAL9339287,corp_pfd.dif,2022-12-02 18:15:13
BBG00FN8SZ96,ID_CUSIP,AL9339287,corp_pfd.dif,2022-12-02 18:15:13
BBG00FN8SZ96,ID_ISIN,BRBRPRDBS068,corp_pfd.dif,2022-12-02 18:15:13
BBG00FN8SZ96,ID_SEDOL1,BF0H0L6,corp_pfd.dif,2022-12-02 18:15:13
BBG00FN8SZ96,NAME,BR PROPERTIES SA,corp_pfd.dif,2022-12-02 18:15:13
BBG00FN8SZ96,TICKER,BRPRSA,corp_pfd.dif,2022-12-02 18:15:13
BBG00FNFVGF1,ID_BB_UNIQUE,COAL9559454,corp_pfd.dif,2022-12-02 18:15:13
BBG00FNFVGF1,ID_CUSIP,AL9559454,corp_pfd.dif,2022-12-02 18:15:13
BBG00FNFVGF1,ID_ISIN,CL0002329069,corp_pfd.dif,2022-12-02 18:15:13
BBG00FNFVGF1,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00FNFVGF1,NAME,SECURITY HOLDINGS S.A.,corp_pfd.dif,2022-12-02 18:15:13
BBG00FNFVGF1,TICKER,SECUCL,corp_pfd.dif,2022-12-02 18:15:13
BBG00FNFVM22,ID_BB_UNIQUE,COAL9559488,corp_pfd.dif,2022-12-02 18:15:13
BBG00FNFVM22,ID_CUSIP,AL9559488,corp_pfd.dif,2022-12-02 18:15:13
BBG00FNFVM22,ID_ISIN, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00FNFVM22,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00FNFVM22,NAME,BANMEDICA SA,corp_pfd.dif,2022-12-02 18:15:13
BBG00FNFVM22,TICKER,BANMED,corp_pfd.dif,2022-12-02 18:15:13
BBG00FNFVP52,ID_BB_UNIQUE,COAL9559546,corp_pfd.dif,2022-12-02 18:15:13
BBG00FNFVP52,ID_CUSIP,AL9559546,corp_pfd.dif,2022-12-02 18:15:13
BBG00FNFVP52,ID_ISIN, ,corp_pfd.dif,2022-12-02 18:15:13
